#{"t_start": 1766172363.9124959, "env_id": "None"}
r,l,t
-10.0,8,382.332258
-10.0,8,382.336651
-10.0,8,382.344882
-10.0,8,382.3511
-10.0,8,382.35716
-10.0,8,382.363286
-10.0,8,382.369398
-10.0,8,396.334943
-10.0,8,396.34171
-10.0,8,396.348278
-10.0,8,396.354589
-10.0,8,396.359427
-10.0,8,396.364262
-10.0,8,396.369119
-10.0,8,396.373519
-10.0,8,396.37785
-10.0,8,396.382161
-10.0,8,410.929774
-10.0,8,410.935927
-10.0,8,410.942333
-10.0,8,410.948856
-10.0,8,410.955398
-10.0,8,410.961918
-10.0,8,410.968546
-10.0,8,410.975034
-10.0,8,410.981652
-10.0,8,410.988136
-10.0,3,424.816244
-10.0,3,424.818118
-10.0,3,424.819974
-10.0,3,424.821822
-10.0,3,424.823681
-10.0,3,424.825544
-10.0,3,424.830035
-10.0,3,424.832487
-10.0,3,424.834909
-10.0,3,424.8372
-10.0,3,439.459796
-10.0,3,439.461519
-10.0,3,439.463253
-10.0,3,439.465001
-10.0,3,439.466715
-10.0,3,439.468426
-10.0,3,439.470142
-10.0,3,439.471852
-10.0,3,439.476287
-10.0,3,439.478773
-10.0,8,453.736909
-10.0,8,453.741639
-10.0,8,453.746304
-10.0,8,453.751061
-10.0,8,453.756414
-10.0,8,453.761575
-10.0,8,453.766296
-10.0,8,453.771042
-10.0,8,453.776048
-10.0,8,453.78076
-10.0,3,467.829174
-10.0,3,467.831007
-10.0,3,467.83286
-10.0,3,467.83466
-10.0,3,467.836675
-10.0,3,467.838914
-10.0,3,467.841031
-10.0,3,467.842884
-10.0,3,467.844682
-10.0,3,467.846459
-10.0,8,482.385196
-10.0,8,482.389798
-10.0,8,482.394186
-10.0,8,482.401176
-10.0,8,482.405618
-10.0,8,482.410045
-10.0,8,482.416356
-10.0,8,482.422631
-10.0,8,482.428621
-10.0,8,482.434656
-10.0,3,497.025081
-10.0,3,497.027161
-10.0,3,497.029078
-10.0,3,497.030908
-10.0,3,497.032689
-10.0,3,497.034477
-10.0,3,497.03627
-10.0,3,497.038044
-10.0,3,497.039887
-10.0,3,497.041829
-10.0,8,511.289165
-10.0,8,511.296306
-10.0,8,511.30369
-10.0,8,511.310885
-10.0,8,511.317517
-10.0,8,511.324684
-10.0,8,511.3309
-10.0,8,511.337192
-10.0,8,511.344282
-10.0,8,511.348973
-10.0,6,525.436157
-10.0,6,525.441212
-10.0,6,525.445865
-10.0,6,525.4503
-10.0,6,525.454247
-10.0,6,525.45758
-10.0,6,525.46101
-10.0,6,525.46453
-10.0,6,525.469016
-10.0,6,525.473809
-10.0,8,539.454741
-10.0,8,539.461202
-10.0,8,539.46801
-10.0,8,539.47442
-10.0,8,539.480908
-10.0,8,539.48749
-10.0,8,539.493859
-10.0,8,539.500177
-10.0,8,539.506623
-10.0,8,539.513077
-10.0,8,554.708784
-10.0,8,554.715299
-10.0,8,554.721642
-10.0,8,554.727839
-10.0,8,554.734061
-10.0,8,554.740236
-10.0,8,554.746074
-10.0,8,554.752195
-10.0,8,554.757995
-10.0,8,554.762588
-10.0,3,568.765376
-10.0,3,568.767859
-10.0,3,568.770349
-10.0,3,568.772977
-10.0,3,568.775646
-10.0,3,568.77757
-10.0,3,568.779333
-10.0,3,568.781103
-10.0,3,568.782873
-10.0,3,568.784626
-10.0,3,582.761812
-10.0,3,582.764143
-10.0,3,582.766375
-10.0,3,582.768723
-10.0,3,582.771138
-10.0,3,582.773564
-10.0,3,582.775998
-10.0,3,582.778491
-10.0,3,582.780929
-10.0,3,582.783239
-10.0,8,596.890394
-10.0,8,596.895183
-10.0,8,596.900853
-10.0,8,596.906885
-10.0,8,596.912874
-10.0,8,596.918958
-10.0,8,596.924982
-10.0,8,596.930369
-10.0,8,596.936436
-10.0,8,596.942535
-10.0,8,611.765079
-10.0,8,611.769827
-10.0,8,611.774696
-10.0,8,611.77985
-10.0,8,611.784427
-10.0,8,611.788933
-10.0,8,611.793384
-10.0,8,611.79931
-10.0,8,611.805238
-10.0,8,611.811281
-10.0,7,626.32991
-10.0,7,626.334336
-10.0,7,626.338754
-10.0,7,626.344978
-10.0,7,626.349312
-10.0,7,626.353352
-10.0,7,626.357814
-10.0,7,626.362024
-10.0,7,626.365851
-10.0,7,626.369791
-10.0,3,640.533944
-10.0,3,640.536833
-10.0,3,640.540251
-10.0,3,640.542677
-10.0,3,640.544987
-10.0,3,640.547206
-10.0,3,640.549517
-10.0,3,640.551793
-10.0,3,640.554346
-10.0,3,640.556785
-10.0,8,654.422509
-10.0,8,654.427396
-10.0,8,654.432269
-10.0,8,654.439454
-10.0,8,654.443961
-10.0,8,654.448495
-10.0,8,654.454502
-10.0,8,654.460748
-10.0,8,654.467278
-10.0,8,654.47267
-10.0,12,668.66848
-10.0,12,668.675611
-10.0,12,668.68317
-10.0,12,668.690426
-10.0,12,668.6975
-10.0,12,668.70482
-10.0,12,668.711924
-10.0,12,668.719141
-10.0,12,668.726287
-10.0,12,668.733617
-10.0,8,683.59496
-10.0,8,683.599704
-10.0,8,683.604497
-10.0,8,683.609323
-10.0,8,683.617325
-10.0,8,683.622317
-10.0,8,683.627265
-10.0,8,683.632447
-10.0,8,683.63759
-10.0,8,683.642613
-10.0,14,699.483153
-10.0,14,699.494382
-10.0,14,699.504105
-10.0,14,699.51204
-10.0,14,699.52317
-10.0,14,699.53369
-10.0,14,699.5427
-10.0,14,699.550864
-10.0,14,699.559634
-10.0,14,699.567819
-10.0,3,714.15404
-10.0,3,714.156516
-10.0,3,714.158954
-10.0,3,714.161384
-10.0,3,714.16382
-10.0,3,714.166301
-10.0,3,714.168734
-10.0,3,714.171167
-10.0,3,714.17361
-10.0,3,714.176045
-10.0,3,728.89046
-10.0,3,728.895266
-10.0,3,728.897155
-10.0,3,728.899099
-10.0,3,728.900948
-10.0,3,728.902797
-10.0,3,728.904647
-10.0,3,728.906517
-10.0,3,728.908631
-10.0,3,728.911163
-10.0,3,744.231735
-10.0,3,744.234613
-10.0,3,744.237497
-10.0,3,744.240503
-10.0,3,744.242935
-10.0,3,744.24554
-10.0,3,744.24809
-10.0,3,744.250597
-10.0,3,744.253083
-10.0,3,744.255574
-10.0,6,759.194504
-10.0,6,759.198141
-10.0,6,759.201809
-10.0,6,759.205722
-10.0,6,759.209184
-10.0,6,759.212663
-10.0,6,759.216167
-10.0,6,759.219737
-10.0,6,759.22332
-10.0,6,759.226825
-10.0,5,774.494642
-10.0,5,774.498463
-10.0,5,774.502236
-10.0,5,774.50602
-10.0,5,774.509804
-10.0,5,774.516411
-10.0,5,774.520224
-10.0,5,774.52401
-10.0,5,774.527854
-10.0,5,774.531755
-10.0,5,788.709249
-10.0,5,788.71221
-10.0,5,788.715095
-10.0,5,788.717996
-10.0,5,788.720876
-10.0,5,788.723756
-10.0,5,788.727427
-10.0,5,788.731303
-10.0,5,788.73516
-10.0,5,788.739094
-10.0,3,803.312371
-10.0,3,803.315091
-10.0,3,803.317757
-10.0,3,803.32044
-10.0,3,803.322477
-10.0,3,803.324215
-10.0,3,803.325906
-10.0,3,803.327601
-10.0,3,803.329291
-10.0,3,803.330983
-10.0,5,817.59238
-10.0,5,817.595298
-10.0,5,817.598202
-10.0,5,817.601457
-10.0,5,817.604646
-10.0,5,817.607672
-10.0,5,817.610679
-10.0,5,817.613671
-10.0,5,817.616762
-10.0,5,817.620162
-10.0,6,832.259768
-10.0,6,832.264496
-10.0,6,832.269234
-10.0,6,832.274112
-10.0,6,832.278736
